country_code,country_code_iso
USA,NA
CHN,NA
JPN,NA
AUS,NA
FRA,NA
NED,NLD
GBR,NA
KOR,NA
ITA,NA
GER,DEU
NZL,NA
CAN,NA
UZB,NA
HUN,NA
ESP,NA
SWE,NA
KEN,NA
NOR,NA
IRL,NA
BRA,NA
IRI,IRN
UKR,NA
ROU,NA
GEO,NA
SRB,NA
BUL,BGR
CZE,NA
DEN,DNK
AZE,NA
CRO,HRV
CUB,NA
BEL,NA
BRN,NA
SLO,SVN
TPE,TWN
AUT,NA
HKG,NA
PHI,PHL
ALG,DZA
INA,IDN
POL,NA
ISR,NA
KAZ,NA
JAM,NA
RSA,ZAF
THA,NA
AIN,NA
ETH,NA
SUI,CHE
ECU,NA
POR,PRT
GRE,GRC
ARG,NA
EGY,NA
TUN,NA
BOT,BWA
CHI,NA
LCA,NA
UGA,NA
DOM,NA
GUA,GUM
MAR,NA
DMA,NA
PAK,NA
TUR,NA
MEX,NA
ARM,NA
COL,NA
KGZ,NA
PRK,NA
LTU,NA
IND,NA
MDA,NA
KOS,XKX
CYP,NA
FIJ,FJI
JOR,NA
MGL,MNG
PAN,NA
TJK,NA
ALB,NA
GRN,GRL
MAS,MYS
PUR,PRI
CIV,NA
CPV,NA
EOR,NA
PER,NA
QAT,NA
SGP,NA
SVK,NA
ZAM,ZMB
